source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,district_hint
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1972,2010-06-15 00:00:00,,Cox's Bazar town,"Powerful landslides triggered by heavy rains killed at least 49 people, including six army personnel, on Tuesday in two southeastern districts of Cox’s Bazar and Bandarban.  In Cox’s Bazar, the mudslides occurred at different parts including the district town and Himchhari ECB camp, leaving 45 people dead.  Superintendent of Police Nibash Chandra Majhi said 31 people were killed in Teknaf, six in Ukhia, two in the district headquarters and six in the Himchhari army camp.  Of the army men buried under the mud, three bodies were recovered while search was going on for the rest, reports a correspondent from Cox’s Bazar.  Deputy Commissioner Md Gias Uddin Ahmed said they were urging people through loudhailers to evacuate the hilly areas. ",Cox's Bazar town,10km,landslide,downpour,medium,unknown,2.0,,,,,glc,1972.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,4.53886,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0082,21.4384,Chittagong
The Statesman,http://www.thestatesman.com/news/world/flood-tightens-grip-on-several-districts-of-bangladesh/78463.html,7298,2015-07-27 00:00:00,,"Surson Rd, Chittagong","There were landslides in two hills in Chittagong city's GEC and Surson Road areas yesterday due to heavy rains, but no casualties were reported. Read more at http://www.thestatesman.com/news/world/flood-tightens-grip-on-several-districts-of-bangladesh/78463.html#saUWWYv7jRHK6ju5.99","Surson Rd, Chittagong",1km,landslide,continuous_rain,small,above_road,0.0,0.0,,,,glc,7298.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,1.45099,07/29/2015 07:19:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8295,22.3513,Chittagong
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/jun/27/11-dead-landslides-flashfloods,7004,2015-06-27 09:00:00,,Ramu Upazila,"In Cox’s Bazar, two people  Futu, 18 and Amir Hossian, 45,  were killed in separate incidents of landslide at Ramu upazila in the morning.",Ramu Upazila,25km,landslide,monsoon,small,unknown,1.0,0.0,,,,glc,7004.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,15.6565,06/29/2015 02:25:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.118,21.4406,Chittagong
The Daily Star,http://www.thedailystar.net/story.php?nid=3742,253,2007-09-10 00:00:00,,Nabinagar in Chittagong,earth fell onto 2 girls in slums of city,Nabinagar in Chittagong,5km,mudslide,rain,medium,unknown,2.0,,,,,glc,253.0,Bangladesh,BD,Chittagong,31671.0,Nabīnagar,0.68998,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,90.9733,23.8917,Chittagong
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/jun/27/landslides-flashfloods-death-toll-climbs-13,7001,2015-06-27 10:30:00,,Shamlapur,"A woman and her daughter have been killed in a landslide at Shamlapur village of Baharchhara union in Teknaf upazila of Cox's Bazar.  The deceased are Samoda Khatun, 45, and her daughter Shahena Aktar, 16.",Shamlapur,1km,landslide,flooding,medium,unknown,2.0,0.0,,,,glc,7001.0,Bangladesh,BD,Chittagong,40557.0,Teknāf,29.64122,06/29/2015 01:55:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.1414,21.0853,Chittagong
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/sep/01/schoolgirl-killed-coxs-bazar-landslide,7924,2015-09-01 11:30:00,,Cox's Bazar,"A school girl has been killed in a landslide in south Mohoripara area in Cox’s Bazar.Farzana Rashid, 14, was the daughter of Abu Taher and a class VII student of College Gate Ilias Mia High School.Sadar upazila Chairman GM Rahim Ullah said: “The landslide took place around 11:30am Tuesday due to the heavy rain in the area since Monday night.”",Cox's Bazar,5km,landslide,downpour,medium,above_road,1.0,0.0,,,,glc,7924.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,6.81666,06/29/2016 07:44:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.96737514,21.47819035,Chittagong
Daily Star,http://www.thedailystar.net/one-killed-4-injured-in-bandarban-landslide-63887,6753,2015-02-08 12:00:00,,Siddique Nagar in Bandarban Sadar,"A worker was killed and four others were injured in a landslide while cutting a hill for construction of a road in Siddique Nagar area of Bandarban Sadar upazila yesterday. The deceased was identified as Mohammad Jakaria, 24, a resident of Teknaf upazila in Cox's Bazar district.",Siddique Nagar in Bandarban Sadar,50km,rock_fall,mining,small,mine,1.0,4.0,,http://www.thedailystar.net/upload/gallery/image/arts/bandarban-landslide-killed.jpg,,glc,6753.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,0.7726,02/09/2015 11:31:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.2217,22.202,Chittagong
The Daily Star,http://www.thedailystar.net/city/3-family-hurt-sylhet-mudslide-95881,6982,2015-06-11 09:00:00,,Muhona residential area of Sylhet,Three members of a family were injured as a chunk of earth from a rain-soaked hill fell on their tin-roofed house,Muhona residential area of Sylhet,5km,landslide,rain,small,urban,0.0,3.0,,,,glc,6982.0,Bangladesh,BD,Sylhet,237000.0,Sylhet,0.58709,06/26/2015 02:39:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8771,24.9016,Sylhet
The Daily Star,http://www.thedailystar.net/country/mother-daughter-killed-cox%E2%80%99s-bazar-landslide-117445,7281,2015-07-27 02:00:00,,Cox's Bazar,Five people including three women and a six-year-old child were killed in a landslide triggered by incessant rain in Cox’s Bazar town today. At least four houses were buried in the landslide at 2:00am near the local radar station. A part of the station’s wall was also brought down by the landslide.,Cox's Bazar,10km,landslide,continuous_rain,medium,natural_slope,5.0,0.0,,http://en.newsbd71.com/wp-content/uploads/2015/07/hillslip-600x336.jpg,,glc,7281.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,1.2302,10/21/2015 07:29:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.2195,20.9383,Chittagong
hindustantimes,http://www.hindustantimes.com/StoryPage/StoryPage.aspx?id=f31c1a18-8a57-44ad-b45f-5765f562b803&MatchID1=4721&TeamID1=8&TeamID2=6&MatchType1=2&SeriesID1=1189&MatchID2=4747&TeamID3=4&TeamID4=1&MatchType2=2&SeriesID2=1196&PrimaryID=4721&Headline=Land,626,2008-07-03 00:00:00,,"Cox's Bazar, Moheshkhali,Teknaf","Ten people were killed in landslides in Teknaf sub district and Moheshkhali offshore island of Cox's Bazar, a police officer said","Cox's Bazar, Moheshkhali,Teknaf",5km,landslide,downpour,medium,unknown,20.0,,,,,glc,626.0,Bangladesh,BD,Chittagong,253788.0,Cox’s Bāzār,3.68821,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0,21.44,Chittagong
www.dhakatribune.com,http://www.dhakatribune.com/bangladesh/2013/jul/29/spate-deaths-landslides-continues,5218,2013-07-28 04:30:00,,"Lal Khan Bazaar, Chittagong, Chittagong Division","The latest incident took place only Sunday when a landslide, triggered by heavy rain, left a woman and her daughter dead in the cityÕs Lalkhan Bazar area. - See more at: http://www.dhakatribune.com/bangladesh/2013/jul/29/spate-deaths-landslides-continues#sthash.dVp5FmQd.dpuf","Lal Khan Bazaar, Chittagong, Chittagong Division",1km,landslide,downpour,medium,unknown,2.0,,,,,glc,5218.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.28507,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8151,22.3521,Chittagong
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1980,2010-06-15 08:00:00,,"Uttarpara Baganboni(?), Naikhangchhari upazila(?), Bandarban","In Bandarban, four members of a family were killed in a landslide at Uttarpara Baganboni in Naikhangchhari upazila early Tuesday morning, UNB adds.  The victims were identified as Khairul Bashar, 35, his wife Parveen Akther, 27, son Sakib, 7, and daughter Fatema.  Local sources said all the four were killed, buried under a heavy chunk of mud that fell on Khairul’s house at the foot of a hill during heavy downpour.","Uttarpara Baganboni(?), Naikhangchhari upazila(?), Bandarban",unknown,landslide,downpour,medium,unknown,4.0,,,,,glc,1980.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,24.6146,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.3333,22.0,Chittagong
The Daily Star,http://www.thedailystar.net/country/6-killed-landslide-wall-collapse-ctg-113944,7223,2015-07-19 01:30:00,,Lal Khan Bazaar,"In Lalkhan area, two of a family and one of another family were killed due to wall collapse after heavy rainfall around 1:30am",Lal Khan Bazaar,1km,other,downpour,small,urban,3.0,0.0,,,,glc,7223.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.21135,07/20/2015 02:12:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8147,22.3507,Chittagong
Daily Star,http://www.thedailystar.net/country/rain-triggers-landslide-floods-bandarban-khagrachhari-130276,7718,2015-08-21 00:00:00,,"Bāndarban : At least eight houses were damaged in similar landslides in New Gulshan, Langi Para and Banarupa Para areas of the uapzila amid incessant*","At least eight houses were damaged in similar landslides in New Gulshan, Langi Para and Banarupa Para areas of the uapzila amid incessant rain in the morning, he added.",,1km,landslide,continuous_rain,medium,urban,0.0,0.0,,,,glc,7718.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,0.78566,05/26/2016 10:06:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.2135,22.1909,Chittagong
africa.reuters,http://africa.reuters.com/world/news/usnDEL257604.html,727,2008-08-18 00:00:00,,"Lalkhan Bazar in Chittagong, Cox Bazar","occurred in morning at Motijharna, chunks of soil rolled down from 10-12 meters smashing huts below; 142 millimeters (5.6 inches) of rain in 24 hours","Lalkhan Bazar in Chittagong, Cox Bazar",10km,landslide,monsoon,medium,unknown,11.0,,,,,glc,727.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,0.83926,07/20/2015 02:06:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8242,22.3421,Chittagong
morungexpress,http://www.morungexpress.com/regional/1752.html,683,2008-08-01 00:00:00,,"Meghalaya, Kalaphahar kills",4 villages on Bangladesh-India border affected by flooding/sand-debris blocking major roads. Occurred sometime 7-20 to 8-16,"Meghalaya, Kalaphahar kills",50km,landslide,rain,medium,unknown,,,,,,glc,683.0,Bangladesh,BD,Sylhet,237000.0,Sylhet,3.0718,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.9022,24.896,Sylhet
foxnews,http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/,4431,2012-06-24 00:00:00,,Bandarban ,"Landslides and floods caused by heavy monsoon rains killed at least 91 people in southern Bangladesh and many more were missing, the government said Wednesday.  At least 37 died in Cox's Bazar, 33 in neighboring Bandarban and another 21 in Chittagong, mostly in a series of landslides, the Disaster Management Ministry said. It said soldiers were joining the search for the missing. Three days of torrential rain in the region of small hills and forests dislodged huge chunks of earth which buried flimsy huts where families were sleeping late Tuesday and early Wednesday. Many homeless people live at the foot of the hills or close to them despite warnings from authorities.  Read more: http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/#ixzz2HgIbeaxQ  Read more: http://www.foxnews.com/world/2012/06/27/landslides-kill-30-in-southern-bangladesh513572/#ixzz2HgIT0LvN",Bandarban ,unknown,landslide,downpour,large,unknown,36.0,,,,,glc,4431.0,Bangladesh,BD,Chittagong,52005.0,Sātkania,48.13191,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.3783,21.7684,Chittagong
Daily Star,http://www.thedailystar.net/city/ctg-manila-hill-owner-fined-tk-10-lakh-landslide-118918,7359,2015-09-27 00:00:00,,"District Shilpakala Academy, Chittagong city","The Department of Environment (DoE) yesterday fined the owner of Manila hill Tk 10 lakh for keeping 2,500 sacks of sand on the hill slope which resulted in a landslide in Chittagong city on Sunday.","District Shilpakala Academy, Chittagong city",25km,landslide,construction,small,urban,0.0,0.0,,,,glc,7359.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.58085,10/28/2015 09:56:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8236,22.3605,Chittagong
The Daily Star,http://www.thedailystar.net/country/6-killed-landslide-wall-collapse-ctg-113944,7222,2015-07-19 02:00:00,,"Amin Colony, Bayazid",Six people of three families were killed in separate incidents of landslide and wall collapse at Bayezid and Lalkhan areas of Chittagong city due to heavy rain early today.  The authorities have asked people of the neighbourhood through miking this noon to move to safer places to ensure safety,"Amin Colony, Bayazid",5km,landslide,downpour,small,urban,3.0,0.0,,,,glc,7222.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,6.02922,07/20/2015 02:06:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8177,22.3913,Chittagong
The Daily Star,http://www.thedailystar.net/newDesign/latest_news.php?nid=24242,1974,2010-06-15 00:00:00,,Cox's Bazar,"Powerful landslides triggered by heavy rains killed at least 49 people, including six army personnel, on Tuesday in two southeastern districts of Cox’s Bazar and Bandarban.  In Cox’s Bazar, the mudslides occurred at different parts including the district town and Himchhari ECB camp, leaving 45 people dead.  Superintendent of Police Nibash Chandra Majhi said 31 people were killed in Teknaf, six in Ukhia, two in the district headquarters and six in the Himchhari army camp.  Of the army men buried under the mud, three bodies were recovered while search was going on for the rest, reports a correspondent from Cox’s Bazar.  Deputy Commissioner Md Gias Uddin Ahmed said they were urging people through loudhailers to evacuate the hilly areas. ",Cox's Bazar,5km,landslide,downpour,large,unknown,31.0,,,,,glc,1974.0,Bangladesh,BD,Chittagong,40557.0,Teknāf,0.29303,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.19566765,21.06313524,Chittagong
Daily Star,http://www.thedailystar.net/country/landslide-kills-2-in-habiganj-64024,6758,2015-02-09 11:00:00,,Gulgaon Hill area under Bahubal upazila of Habiganj district,Two workers were killed in a landslide while cutting a hill in Gulgaon Hill area under Bahubal upazila of Habiganj district yesterday.,Gulgaon Hill area under Bahubal upazila of Habiganj district,10km,other,mining,small,mine,2.0,0.0,,,,glc,6758.0,Bangladesh,BD,Sylhet,88760.0,Habiganj,16.28953,02/10/2015 03:28:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.5642,24.3311,Sylhet
The Daily Star,http://www.thedailystar.net/frontpage/rain-triggers-landslides-103642,7002,2015-06-26 03:00:00,,"Banorupa Para in Sadar upazila, Bandarban","Two siblings -- Alif, 11, and his sister Mim, 8, children of Abdur Razzak -- were killed in their sleep after a landslide partially buried their house at Banorupa Para in Sadar upazila in the early hours yesterday, our Bandarban correspondent reports.  Their parents were also injured in the incident...A number of other houses were reportedly damaged in landslides in other parts of the district.","Banorupa Para in Sadar upazila, Bandarban",25km,landslide,monsoon,medium,unknown,2.0,2.0,,,,glc,7002.0,Bangladesh,BD,Chittagong,32523.0,Bāndarban,2.64839,06/29/2015 02:20:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.235,22.2144,Chittagong
Wikipedia,http://en.wikipedia.org/wiki/2007_Chittagong_mudslide,84,2007-06-11 10:00:00,,Chittagong,"128 killed, many missing, 150 injured; occurred at 10:00 hrs, 219mm of rainfall w/in 24 hrs",Chittagong,25km,landslide,monsoon,very_large,urban,128.0,150.0,,,,glc,84.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.48492,12/16/2015 08:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8205,22.3555,Chittagong
